num,1,2,3,4,label
225,0.0067,0.0015,-0.0046,-0.0008,1
226,0.0037,0,-0.0008,0,1
227,0.0007,-0.0015,0.0015,0.0015,1
228,0,0.0015,0.0007,0.0015,1
229,0.0022,0.0022,0.0007,0.0015,1
230,-0.0008,-0.0008,0.0037,0.0015,1
231,-0.0038,-0.0015,0.0015,0.0015,1
232,-0.0015,-0.0008,0.0045,0.0007,1
233,-0.0015,-0.0008,0.0082,0,1
234,-0.003,-0.0015,0.009,0.0007,1
235,-0.003,0,0.0052,0,1
236,0,0.0015,0.0007,-0.0008,1
237,0.0015,0.0015,-0.0015,-0.0015,1
238,0.003,0.0015,-0.0046,-0.003,1
239,0.003,0,-0.006,-0.003,1
240,0.0015,0.0015,-0.0091,-0.0023,1
241,0.0052,0.0015,-0.0083,-0.0008,1
242,0.006,0.0015,-0.0046,-0.0008,1
243,0.0022,0.0007,-0.0015,-0.0008,1
244,0.0007,0,-0.0015,0.0007,1
245,0,-0.0015,0.0007,0.0007,1
246,-0.003,-0.0023,0.0015,0.0007,1
247,-0.003,-0.0015,0.0022,-0.0008,1
248,-0.003,-0.0015,0.0037,-0.0008,1
249,-0.003,-0.0008,0.0037,0.0007,1
250,-0.003,-0.0015,0.0075,0.0015,1
251,-0.0046,-0.0015,0.0082,0.0007,1
252,-0.0023,-0.0015,0.003,-0.0015,1
253,-0.0015,-0.0008,0.0007,-0.0015,1
254,0.0007,0.0015,-0.003,-0.0023,1
255,0.0022,0.0007,-0.0046,-0.003,1
256,0.0045,0.0007,-0.0053,-0.0023,1
257,0.003,0.0007,-0.0075,-0.0015,1
258,0.0015,0,-0.0068,-0.0008,1
259,0.003,0,-0.003,-0.0008,1
260,-0.0008,-0.0008,0,0,1
261,-0.0015,0,0,-0.0008,1
262,-0.0008,0.0007,0.0015,-0.0015,1
263,-0.0038,-0.0008,0.0007,0.0007,1
264,-0.003,-0.0015,0.003,0.0007,1
265,-0.0023,-0.0023,0.0045,-0.0008,1
266,-0.0023,-0.0023,0.0052,0.0007,1
267,-0.003,-0.0015,0.0067,0,1
268,-0.003,-0.0015,0.0052,-0.0008,1
269,0.0007,0,0.0037,-0.0008,1
270,0.003,0.0015,-0.0015,-0.0008,1
271,0.0045,0.0015,-0.003,-0.0015,1
272,0.0052,0.0015,-0.0053,-0.003,1
273,0.0067,0.003,-0.0075,-0.0046,1
274,0.0067,0.0015,-0.0083,-0.0046,1
275,0.0045,0.0007,-0.0068,-0.003,1
276,0.0037,0.0022,-0.003,-0.0008,1
277,0.0045,0.0015,-0.0008,0.0007,1
278,0.003,0.0015,0.0015,-0.0008,1
279,0.0007,0.0007,0.003,0.0007,1
280,0.0015,0,0.0052,0.0015,1
281,0.003,-0.0008,0.006,0.0015,1
282,0.0037,-0.0015,0.006,0.0015,1
283,0.0022,-0.0023,0.0082,0.0022,1
284,0,-0.0015,0.0082,0.0015,1
285,-0.0008,-0.0015,0.0052,0.0015,1
286,-0.0015,0,0.0007,0,1
287,-0.0015,-0.0008,-0.0015,-0.0008,1
288,0.0007,-0.0015,-0.0053,-0.0008,1
289,0.0022,-0.0008,-0.0083,-0.0015,1
290,0.0022,0,-0.0083,-0.0015,1
291,0.003,0.0015,-0.0068,-0.0015,1
292,0.0007,0.0015,-0.0038,-0.0015,1
293,0.0015,0.0007,-0.0008,0.0007,1
294,0.0007,0.0007,0.0022,0,1
295,-0.0008,0.0007,0.003,0.0007,1
296,0.0007,0.0007,0.0015,0.0015,1
297,-0.0015,-0.0008,0.003,0,1
298,-0.0015,-0.0008,0.0045,0.0007,1
299,-0.003,-0.0015,0.0045,-0.0008,1
300,-0.0046,-0.003,0.0075,0.0007,1
301,-0.0068,-0.0015,0.006,0.0007,1
302,-0.006,0,0.0045,0,1
303,-0.0008,0.0015,0.0007,0,1
304,-0.0015,-0.0008,-0.0046,-0.0008,1
305,0.0007,-0.0008,-0.0068,0.0015,1
306,0.0022,0.0007,-0.012,0,1
307,0.0015,0,-0.0128,-0.0008,1
308,0.003,0.0015,-0.0105,0.0007,1
309,0,-0.0015,-0.006,0.0007,1
310,-0.0015,-0.0015,-0.003,0,1
311,0,-0.0008,0.0007,0,1
312,-0.0015,-0.0015,0.0045,0.0007,1
313,-0.0008,-0.0008,0.0052,0.0007,1
314,-0.0023,-0.0023,0.006,0.0015,1
315,-0.0038,-0.003,0.0022,0.0007,1
316,-0.0038,-0.003,0.0045,0.0007,1
317,-0.0053,-0.003,0.0075,0.0007,1
318,-0.003,-0.0023,0.0045,-0.0008,1
319,-0.0015,-0.0008,0,-0.0023,1
320,0.0022,0.0007,-0.0046,-0.0046,1
321,0.0037,-0.0015,-0.003,-0.0015,1
322,0.0037,-0.0008,-0.0053,-0.0015,1
323,0.006,0.0015,-0.0068,-0.0023,1
324,0.0045,0.0007,-0.0068,-0.0023,1
325,0.003,0.0007,-0.0053,0.0015,1
